year	stem	qidx	primary_unit	theme	module	matched_units	competencies	level	note
1986	shanghai_liberal	20	圆锥曲线	几何与代数	选择性必修	圆锥曲线;直线与圆	直观想象;数学运算;逻辑推理	水平2-3	
1986	shanghai_liberal	21	平面向量	几何与代数	必修	平面向量;直线与圆	数学运算;直观想象	水平1-2	
1986	shanghai_liberal	22	立体几何初步	几何与代数	必修	立体几何初步	直观想象;数学运算	水平1-2	
1986	shanghai_liberal	23	空间向量与立体几何	几何与代数	选择性必修	空间向量与立体几何;直线与圆	直观想象;数学运算	水平2-3	
1986	shanghai_liberal	24	微积分（选修）	函数	选修	微积分（选修）	数学运算;数学抽象	水平3	
1986	shanghai_liberal	25	计数原理	概率与统计	选择性必修	计数原理	逻辑推理;数学运算	水平2-3	
1986	shanghai_liberal	26	相等关系与不等关系	预备知识	必修	相等关系与不等关系;幂函数、指数函数、对数函数	数学运算;逻辑推理;数学抽象	水平1-2	
1986	shanghai_liberal	27	立体几何初步	几何与代数	必修	立体几何初步;直线与圆	直观想象;数学运算	水平1-2	
1986	shanghai_liberal	28	计数原理	概率与统计	选择性必修	计数原理	逻辑推理;数学运算	水平2-3	
1986	shanghai_liberal	29	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1986	shanghai_liberal	30	幂函数、指数函数、对数函数	函数	必修	幂函数、指数函数、对数函数;函数概念与性质	数学运算;数学抽象	水平1-2	
1986	shanghai_liberal	31	相等关系与不等关系	预备知识	必修	相等关系与不等关系;幂函数、指数函数、对数函数;函数概念与性质	数学运算;逻辑推理;数学抽象	水平1-2	
1986	shanghai_liberal	32	三角函数	函数	必修	三角函数;相等关系与不等关系	数学运算;直观想象;逻辑推理	水平1-2	
1986	shanghai_liberal	33	数列	函数	选择性必修	数列	逻辑推理;数学运算	水平2-3	
1986	shanghai_liberal	34	立体几何初步	几何与代数	必修	立体几何初步;空间向量与立体几何	直观想象;数学运算	水平1-2	
1986	shanghai_liberal	35	圆锥曲线	几何与代数	选择性必修	圆锥曲线;直线与圆	直观想象;数学运算;逻辑推理	水平2-3	
1986	shanghai_science	1	平面向量	几何与代数	必修	平面向量	数学运算;直观想象	水平1-2	
1986	shanghai_science	2	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1986	shanghai_science	3	平面向量	几何与代数	必修	平面向量;直线与圆	数学运算;直观想象	水平1-2	
1986	shanghai_science	4	三角函数	函数	必修	三角函数;相等关系与不等关系	数学运算;直观想象;逻辑推理	水平1-2	
1986	shanghai_science	5	常用逻辑用语	预备知识	必修	常用逻辑用语;空间向量与立体几何;直线与圆	逻辑推理;数学抽象;直观想象;数学运算	水平1-2	
1986	shanghai_science	6	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1986	shanghai_science	7	参数方程与极坐标	几何与代数	选择性必修	参数方程与极坐标;圆锥曲线;直线与圆;三角函数;平面向量	数学运算;直观想象;逻辑推理	水平2-3	
1986	shanghai_science	8	圆锥曲线	几何与代数	选择性必修	圆锥曲线	直观想象;数学运算;逻辑推理	水平2-3	
1986	shanghai_science	9	复数	几何与代数	必修	复数	数学运算;数学抽象	水平1-2	
